Pathway,Superclass,Class,Popolazione
Terpenoids,Lysine alkaloids,Terpenoid alkaloids,5
Terpenoids,Nicotinic acid alkaloids,Secoiridoid monoterpenoids,5
Alkaloids,Lysine alkaloids,Terpenoid alkaloids,5
Alkaloids,Nicotinic acid alkaloids,Secoiridoid monoterpenoids,5
Carbohydrates,Fatty acyls,Resin glycosides,5
Carbohydrates,Fatty acyls,Polysaccharides,5
Amino acids and Peptides,Small peptides,Oxo fatty acids,5
Polyketides,Sesquiterpenoids,Spriromeroterpenoids,5
Fatty acids,Fatty Acids and Conjugates,Monosaccharides,5
Fatty acids,Saccharides,Hydroxy fatty acids,5
Polyketides,Polyethers,Open-chain polyketides,5
Polyketides,Meroterpenoids,Spriromeroterpenoids,5
Carbohydrates,Nucleosides,Purine alkaloids,5
Carbohydrates,Saccharides,Hydroxy fatty acids,5
Carbohydrates,Fatty Acids and Conjugates,Hydroxy fatty acids,5
Shikimates and Phenylpropanoids,Coumarins,Flavan-3-ols,5
Shikimates and Phenylpropanoids,Diarylheptanoids,Chalcones,5
Terpenoids,Lignans,Eudesmane sesquiterpenoids,5
Shikimates and Phenylpropanoids,Lignans,Oligomeric stibenes,5
Shikimates and Phenylpropanoids,Sesquiterpenoids,Eudesmane sesquiterpenoids,5
Shikimates and Phenylpropanoids,Lignans,Eudesmane sesquiterpenoids,5
Polyketides,Naphthalenes,Anthraquinones and anthrones,5
Shikimates and Phenylpropanoids,Phloroglucinols,Chalcones,5
Fatty acids,Fatty Acids and Conjugates,Thia fatty acids,5
Fatty acids,Saccharides,Resin glycosides,5
Amino acids and Peptides,Fatty Acids and Conjugates,Oxo fatty acids,5
Alkaloids,Histidine alkaloids,Carboline alkaloids,5
Alkaloids,Nicotinic acid alkaloids,Oxazole alkaloids,5
Polyketides,Phloroglucinols,Chalcones,5
Fatty acids,Saccharides,Polysaccharides,5
Fatty acids,Fatty acyls,Polysaccharides,5
Carbohydrates,Pseudoalkaloids (transamidation),Purine alkaloids,5
Carbohydrates,Fatty Acids and Conjugates,Monosaccharides,5
Alkaloids,Guanidine alkaloids,Monocyclic guanidine alkaloids,5
Alkaloids,Nucleosides,Purine alkaloids,5
Alkaloids,Pseudoalkaloids (transamidation),Tetraketide meroterpenoids,4
Alkaloids,Meroterpenoids,Tetraketide meroterpenoids,4
Alkaloids,Meroterpenoids,Isoindole alkaloids,4
Polyketides,Meroterpenoids,Isoindole alkaloids,4
Shikimates and Phenylpropanoids,Flavonoids,Monomeric stilbenes,4
Terpenoids,Aminosugars and aminoglycosides,Aminoglycosides,4
Alkaloids,Pseudoalkaloids (transamidation),Androstane steroids,4
Terpenoids,Sesquiterpenoids,Lippifoliane sesquiterpenoids,4
Shikimates and Phenylpropanoids,Diazotetronic acids and derivatives,Neolignans,4
Shikimates and Phenylpropanoids,Lignans,Pulvinones,4
Shikimates and Phenylpropanoids,Flavonoids,Simple cyclic polyketides,4
Alkaloids,Cyclic polyketides,Pyridine alkaloids,4
Polyketides,Oligopeptides,Open-chain polyketides,4
Amino acids and Peptides,Oligopeptides,Open-chain polyketides,4
Terpenoids,Diterpenoids,Eremane diterpenoids,4
Terpenoids,Diterpenoids,Obtusane diterpenoids,4
Amino acids and Peptides,Oligopeptides,Pyridine alkaloids,4
Polyketides,Flavonoids,Simple cyclic polyketides,4
Shikimates and Phenylpropanoids,Cyclic polyketides,Simple cyclic polyketides,4
Carbohydrates,Aminosugars and aminoglycosides,Linear sesterterpenoids,4
Shikimates and Phenylpropanoids,Cyclic polyketides,Chalcones,4
Polyketides,Cyclic polyketides,Chalcones,4
Terpenoids,Sesterterpenoids,Aminoglycosides,4
Terpenoids,Aminosugars and aminoglycosides,Linear sesterterpenoids,4
Terpenoids,Cyclic polyketides,4-pyrone derivatives,4
Terpenoids,Cyclic polyketides,Triketide meroterpenoids,4
Polyketides,Cyclic polyketides,Triketide meroterpenoids,4
Polyketides,Cyclic polyketides,Pyridine alkaloids,4
Shikimates and Phenylpropanoids,Lignans,Monomeric stilbenes,4
Shikimates and Phenylpropanoids,Lignans,Flavonols,4
Fatty acids,Octadecanoids,Phytofurans,4
Polyketides,Meroterpenoids,4-pyrone derivatives,4
Terpenoids,Meroterpenoids,Pyridine alkaloids,4
Shikimates and Phenylpropanoids,Lignans,Dihydroflavonols,4
Shikimates and Phenylpropanoids,Diarylheptanoids,Flavanones,4
Polyketides,Pseudoalkaloids (transamidation),Tetraketide meroterpenoids,4
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-γ)",4
Terpenoids,Pseudoalkaloids (transamidation),Androstane steroids,4
Shikimates and Phenylpropanoids,Stilbenoids,Chalcones,4
Shikimates and Phenylpropanoids,Flavonoids,Isoflavanones,4
Polyketides,Tyrosine alkaloids,Isoquinoline alkaloids,4
Terpenoids,Meroterpenoids,Isoindole alkaloids,4
Fatty acids,Fatty acyl glycosides,Sophorolipids,4
Polyketides,Phloroglucinols,Flavan-3-ols,4
Terpenoids,Carotenoids (C40),"Carotenoids (C40, γ-Ψ)",4
Alkaloids,Diterpenoids,Labdane diterpenoids,4
Alkaloids,Pseudoalkaloids (transamidation),Labdane diterpenoids,4
Terpenoids,Diterpenoids,Eudesmane sesquiterpenoids,4
Terpenoids,Pseudoalkaloids (transamidation),Tetraketide meroterpenoids,4
Amino acids and Peptides,Nicotinic acid alkaloids,Pyridine alkaloids,4
Amino acids and Peptides,Nicotinic acid alkaloids,Cyclic peptides,4
Polyketides,Diterpenoids,Abietane diterpenoids,4
Shikimates and Phenylpropanoids,Phloroglucinols,Flavan-3-ols,4
Polyketides,Flavonoids,Flavan-3-ols,4
Terpenoids,Naphthalenes,Abietane diterpenoids,4
Alkaloids,Meroterpenoids,Pyridine alkaloids,4
Polyketides,Naphthalenes,Abietane diterpenoids,4
Terpenoids,Pseudoalkaloids (transamidation),Labdane diterpenoids,4
Alkaloids,Nicotinic acid alkaloids,Cyclic peptides,4
Alkaloids,Oligopeptides,Pyridine alkaloids,4
Shikimates and Phenylpropanoids,Monoterpenoids,Neolignans,4
Carbohydrates,Sesterterpenoids,Aminoglycosides,4
Terpenoids,Meroterpenoids,4-pyrone derivatives,4
Polyketides,Sesquiterpenoids,Trichothecane sesquiterpenoids,4
Terpenoids,Monoterpenoids,Neolignans,4
Alkaloids,Steroids,Androstane steroids,4
Carbohydrates,Sesterterpenoids,Linear sesterterpenoids,4
Terpenoids,Diarylheptanoids,Bisabolane sesquiterpenoids,3
Shikimates and Phenylpropanoids,Coumarins,Chromones,3
Polyketides,Flavonoids,Chromones,3
Shikimates and Phenylpropanoids,Flavonoids,Chromones,3
Shikimates and Phenylpropanoids,Diarylheptanoids,Bisabolane sesquiterpenoids,3
Terpenoids,Sesquiterpenoids,Linear diarylheptanoids,3
Terpenoids,Diarylheptanoids,Linear diarylheptanoids,3
Shikimates and Phenylpropanoids,Stilbenoids,Flavan-3-ols,3
Shikimates and Phenylpropanoids,Stilbenoids,2-arylbenzofurans,3
Terpenoids,Nicotinic acid alkaloids,Triketide meroterpenoids,3
Fatty acids,Lysine alkaloids,Sphingoid bases,3
Polyketides,Meroterpenoids,Pyridine alkaloids,3
Polyketides,Nicotinic acid alkaloids,Triketide meroterpenoids,3
Alkaloids,Oligopeptides,Linear peptides,3
Terpenoids,Flavonoids,Chalcones,3
Terpenoids,Phloroglucinols,Aromadendrane sesquiterpenoids,3
Shikimates and Phenylpropanoids,Sesquiterpenoids,Linear diarylheptanoids,3
Shikimates and Phenylpropanoids,Terphenyls,2-arylbenzofurans,3
Shikimates and Phenylpropanoids,Monoterpenoids,Iridoids monoterpenoids,3
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Isocoumarins,3
Alkaloids,Lysine alkaloids,Acetate-derived alkaloids,3
Alkaloids,Cyclic polyketides,Phthalide derivatives,3
Shikimates and Phenylpropanoids,Coumarins,Gallotannins,3
Alkaloids,Nicotinic acid alkaloids,Ergostane steroids,3
Polyketides,Linear polyketides,N-acyl amines,3
Shikimates and Phenylpropanoids,Naphthalenes,Naphthoquinones,3
Alkaloids,Spingolipids,Sphingoid bases,3
Terpenoids,Carotenoids (C40),"Carotenoids (C40, γ-ε)",3
Terpenoids,Carotenoids (C40),"Carotenoids (C40, Χ-Ψ)",3
Alkaloids,Meroterpenoids,Triketide meroterpenoids,3
Shikimates and Phenylpropanoids,Coumarins,Naphthoquinones,3
Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphates,3
Terpenoids,Carotenoids (C40),"Carotenoids (C40, κ-κ)",3
Terpenoids,Carotenoids (C45),"Carotenoids (C45, Ψ-Ψ)",3
Shikimates and Phenylpropanoids,Naphthalenes,Simple coumarins,3
Fatty acids,Fatty acyls,Fatty ethers,3
Alkaloids,Small peptides,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",3
Terpenoids,Fatty Acids and Conjugates,Farnesane sesquiterpenoids,3
Alkaloids,Macrolides,Enediynes,3
Polyketides,Naphthalenes,Simple coumarins,3
Polyketides,Coumarins,Naphthoquinones,3
Amino acids and Peptides,Small peptides,Dicarboxylic acids,3
Terpenoids,Carotenoids (C50),"Carotenoids (C50, β-Ψ)",3
Terpenoids,Carotenoids (C50),"Carotenoids (C50, γ-γ)",3
Alkaloids,Lysine alkaloids,Sphingoid bases,3
Terpenoids,Carotenoids (C40),"Carotenoids (C40, π-Χ)",3
Fatty acids,Small peptides,Dicarboxylic acids,3
Amino acids and Peptides,Fatty Acids and Conjugates,Dicarboxylic acids,3
Alkaloids,Nicotinic acid alkaloids,Triketide meroterpenoids,3
Polyketides,Sesquiterpenoids,Aromadendrane sesquiterpenoids,3
Polyketides,Phloroglucinols,Aromadendrane sesquiterpenoids,3
Terpenoids,Nicotinic acid alkaloids,Ergostane steroids,3
Terpenoids,Steroids,Pyridine alkaloids,3
Alkaloids,Steroids,Pyridine alkaloids,3
Alkaloids,Steroids,Ergostane steroids,3
Shikimates and Phenylpropanoids,Flavonoids,Anthraquinones and anthrones,3
Fatty acids,Fatty amides,Linear polyenes,3
Polyketides,Nicotinic acid alkaloids,2-pyrone derivatives,3
Polyketides,Sesquiterpenoids,Polyene macrolides,3
Amino acids and Peptides,Peptide alkaloids,Imidazole alkaloids,3
Alkaloids,Histidine alkaloids,Cyclic peptides,3
Alkaloids,Peptide alkaloids,Imidazole alkaloids,3
Terpenoids,Sesquiterpenoids,Polyene macrolides,3
Fatty acids,Linear polyketides,Linear polyenes,3
Fatty acids,Linear polyketides,N-acyl amines,3
Polyketides,Fatty amides,N-acyl amines,3
Polyketides,Fatty amides,Linear polyenes,3
Terpenoids,Macrolides,Trichothecane sesquiterpenoids,3
Terpenoids,Macrolides,Polyene macrolides,3
Polyketides,Flavonoids,Anthraquinones and anthrones,3
Polyketides,Phenolic acids (C6-C1),Simple phenolic acids,3
Shikimates and Phenylpropanoids,Aromatic polyketides,Depsides and depsidones,3
Shikimates and Phenylpropanoids,Stilbenoids,Neolignans,3
Alkaloids,Polycyclic aromatic polyketides,Isoindole alkaloids,3
Shikimates and Phenylpropanoids,Flavonoids,Dibenzylbutane lignans,3
Alkaloids,Tyrosine alkaloids,Carboline alkaloids,3
Alkaloids,Tryptophan alkaloids,Terpenoid tetrahydroisoquinoline alkaloids,3
Polyketides,Coumarins,Chromones,3
Alkaloids,Pseudoalkaloids (transamidation),Phenylethylamines,3
Alkaloids,Tyrosine alkaloids,Phenylalanine-derived alkaloids,3
Polyketides,Polycyclic aromatic polyketides,Isoindole alkaloids,3
Polyketides,Alkylresorsinols,Monoalkylresorcinols,3
Terpenoids,Phloroglucinols,Acyl phloroglucinols,3
Amino acids and Peptides,Histidine alkaloids,Cyclic peptides,3
Alkaloids,Oligopeptides,Imidazole alkaloids,3
Terpenoids,Sesquiterpenoids,Abietane diterpenoids,3
Alkaloids,Nicotinic acid alkaloids,2-pyrone derivatives,3
Alkaloids,Cyclic polyketides,2-pyrone derivatives,3
Alkaloids,Linear polyketides,Pyrrolidine alkaloids,3
Fatty acids,Docosanoids,Maresins,3
Alkaloids,Ornithine alkaloids,3-acyl tetramic acids,3
Amino acids and Peptides,Linear polyketides,Pyrrolidine alkaloids,3
Amino acids and Peptides,Ornithine alkaloids,3-acyl tetramic acids,3
Polyketides,Linear polyketides,Pyrrolidine alkaloids,3
Amino acids and Peptides,Ornithine alkaloids,Pyrrolidine alkaloids,3
Polyketides,Ornithine alkaloids,3-acyl tetramic acids,3
Polyketides,Ornithine alkaloids,Pyrrolidine alkaloids,3
Alkaloids,Linear polyketides,3-acyl tetramic acids,3
Amino acids and Peptides,Oligopeptides,Imidazole alkaloids,3
Polyketides,Linear polyketides,Pyridine alkaloids,3
Polyketides,Macrolides,Trichothecane sesquiterpenoids,3
Terpenoids,Coumarins,Drimane sesquiterpenoids,3
Shikimates and Phenylpropanoids,Nicotinic acid alkaloids,Pyridine alkaloids,3
Terpenoids,Sesquiterpenoids,Panasinsane sesquiterpenoids,3
Shikimates and Phenylpropanoids,Sesquiterpenoids,Drimane sesquiterpenoids,3
Terpenoids,Diterpenoids,Guaiane sesquiterpenoids,3
Terpenoids,Diterpenoids,Kempane diterpenoids,3
Polyketides,Linear polyketides,Lipopeptides,3
Amino acids and Peptides,Linear polyketides,Lipopeptides,3
Alkaloids,Nucleosides,Purine nucleotides,3
Alkaloids,Pseudoalkaloids (transamidation),Purine nucleotides,3
Carbohydrates,Pseudoalkaloids (transamidation),Purine nucleotides,3
Alkaloids,Linear polyketides,Pyridine alkaloids,3
Amino acids and Peptides,Small peptides,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",3
Terpenoids,Sesquiterpenoids,Kaurane and Phyllocladane diterpenoids,3
Terpenoids,Diterpenoids,Germacrane sesquiterpenoids,3
Polyketides,Fatty esters,Lactones,3
Terpenoids,Sesquiterpenoids,Pachydictyane diterpenoids,3
Shikimates and Phenylpropanoids,Coumarins,Drimane sesquiterpenoids,3
Terpenoids,Fatty Acids and Conjugates,Unsaturated fatty acids,3
Fatty acids,Fatty Acids and Conjugates,Farnesane sesquiterpenoids,3
Alkaloids,Sesquiterpenoids,Piperidine alkaloids,2
Polyketides,Macrolides,Anthraquinones and anthrones,2
Polyketides,Oligopeptides,Pyridine alkaloids,2
Polyketides,Oligopeptides,Enediynes,2
Polyketides,Nicotinic acid alkaloids,Enediynes,2
Polyketides,Macrolides,Pyridine alkaloids,2
Polyketides,Macrolides,Cyclic peptides,2
Amino acids and Peptides,Oligopeptides,Enediynes,2
Polyketides,Macrolides,Lactones,2
Polyketides,Fatty esters,Polyene macrolides,2
Fatty acids,Macrolides,Polyene macrolides,2
Fatty acids,Macrolides,Lactones,2
Fatty acids,Fatty esters,Polyene macrolides,2
Polyketides,Nicotinic acid alkaloids,Cyclic peptides,2
Alkaloids,Linear polyketides,Open-chain polyketides,2
Polyketides,Linear polyketides,4-pyrone derivatives,2
Polyketides,Cyclic polyketides,Open-chain polyketides,2
Amino acids and Peptides,Peptide alkaloids,Cyclic peptides,2
Alkaloids,Pseudoalkaloids (transamidation),Cholestane steroids,2
Terpenoids,Steroids,Anthranillic acid derivatives,2
Terpenoids,Pseudoalkaloids (transamidation),Anthranillic acid derivatives,2
Terpenoids,Anthranilic acid alkaloids,Steroidal alkaloids,2
Shikimates and Phenylpropanoids,Flavonoids,Neolignans,2
Carbohydrates,Triterpenoids,Hopane and Moretane triterpenoids,2
Fatty acids,Fatty acyl glycosides,Aminosugars,2
Fatty acids,Aminosugars and aminoglycosides,Fatty acyl glycosides of mono- and disaccharides,2
Fatty acids,Aminosugars and aminoglycosides,Aminosugars,2
Terpenoids,Triterpenoids,Cholestane steroids,2
Terpenoids,Lignans,Iridoids monoterpenoids,2
Shikimates and Phenylpropanoids,Lignans,Iridoids monoterpenoids,2
Fatty acids,Eicosanoids,"Eicosa-1,2-dioxolanes",2
Terpenoids,Sesterterpenoids,Taraxerane triterpenoids,2
Amino acids and Peptides,Coumarins,Simple coumarins,2
Amino acids and Peptides,Small peptides,Simple coumarins,2
Shikimates and Phenylpropanoids,Small peptides,Simple phenolic acids,2
Shikimates and Phenylpropanoids,Small peptides,Aminoacids,2
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Aminoacids,2
Amino acids and Peptides,Small peptides,Simple phenolic acids,2
Amino acids and Peptides,Phenolic acids (C6-C1),Simple phenolic acids,2
Amino acids and Peptides,Phenolic acids (C6-C1),Aminoacids,2
Terpenoids,Pseudoalkaloids (transamidation),Atisane diterpenoids,2
Alkaloids,Pseudoalkaloids (transamidation),Atisane diterpenoids,2
Alkaloids,Diterpenoids,Atisane diterpenoids,2
Terpenoids,Sesquiterpenoids,Chalcones,2
Terpenoids,Flavonoids,Bisabolane sesquiterpenoids,2
Shikimates and Phenylpropanoids,Sesquiterpenoids,Chalcones,2
Shikimates and Phenylpropanoids,Flavonoids,Bisabolane sesquiterpenoids,2
Shikimates and Phenylpropanoids,Flavonoids,Oligomeric stibenes,2
Shikimates and Phenylpropanoids,Flavonoids,Isoflavones,2
Alkaloids,Steroids,Cholestane steroids,2
Terpenoids,Chromanes,Ergostane steroids,2
Terpenoids,Chromanes,Azaphilones,2
Polyketides,Steroids,Ergostane steroids,2
Terpenoids,Aminosugars and aminoglycosides,Aminosugars,2
Shikimates and Phenylpropanoids,Isoflavonoids,p-Terphenyls,2
Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Simple phenolic acids,2
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Cinnamic acids and derivatives,2
Alkaloids,Pseudoalkaloids (transamidation),Polyamines,2
Polyketides,Chromanes,Ergostane steroids,2
Terpenoids,Pseudoalkaloids (transamidation),Cholestane steroids,2
Terpenoids,Anthranilic acid alkaloids,Pregnane steroids,2
Terpenoids,Anthranilic acid alkaloids,Anthranillic acid derivatives,2
Alkaloids,Steroids,Anthranillic acid derivatives,2
Alkaloids,Pseudoalkaloids (transamidation),Anthranillic acid derivatives,2
Alkaloids,Anthranilic acid alkaloids,Steroidal alkaloids,2
Alkaloids,Anthranilic acid alkaloids,Pregnane steroids,2
Terpenoids,Xanthones,Methyl xanthones,2
Fatty acids,Fatty acyls,Apocarotenoids (Ψ-),2
Fatty acids,Apocarotenoids,Apocarotenoids (Ψ-),2
Polyketides,Xanthones,Other polyketide meroterpenoids,2
Terpenoids,Naphthalenes,Prenyl quinone meroterpenoids,2
Terpenoids,Meroterpenoids,Naphthoquinones,2
Polyketides,Naphthalenes,Prenyl quinone meroterpenoids,2
Polyketides,Meroterpenoids,Prenyl quinone meroterpenoids,2
Polyketides,Meroterpenoids,Naphthoquinones,2
Terpenoids,Naphthalenes,Cadinane sesquiterpenoids,2
Polyketides,Sesquiterpenoids,Cadinane sesquiterpenoids,2
Polyketides,Naphthalenes,Cadinane sesquiterpenoids,2
Polyketides,Steroids,Azaphilones,2
Terpenoids,Carotenoids (C40),"Carotenoids (C40, κ-Χ)",2
Shikimates and Phenylpropanoids,Chromanes,Azaphilones,2
Terpenoids,Steroids,Azaphilones,2
Shikimates and Phenylpropanoids,Phloroglucinols,m-Terphenyls,2
Shikimates and Phenylpropanoids,Phloroglucinols,Oligomeric phloroglucinols (phlorotannins),2
Polyketides,Terphenyls,m-Terphenyls,2
Polyketides,Terphenyls,Oligomeric phloroglucinols (phlorotannins),2
Polyketides,Phloroglucinols,m-Terphenyls,2
Shikimates and Phenylpropanoids,Lignans,Flavan-3-ols,2
Terpenoids,Triterpenoids,Labdane diterpenoids,2
Terpenoids,Flavonoids,Norsesterterpenoids,2
Terpenoids,Flavonoids,Flavans,2
Shikimates and Phenylpropanoids,Sesterterpenoids,Norsesterterpenoids,2
Shikimates and Phenylpropanoids,Sesterterpenoids,Flavans,2
Shikimates and Phenylpropanoids,Flavonoids,Norsesterterpenoids,2
Terpenoids,Naphthalenes,Noreudesmane sesquiterpenoids,2
Polyketides,Sesquiterpenoids,Noreudesmane sesquiterpenoids,2
Polyketides,Naphthalenes,Noreudesmane sesquiterpenoids,2
Terpenoids,Xanthones,Other polyketide meroterpenoids,2
Polyketides,Diterpenoids,Phloroglucinol-terpene hybrids,2
Shikimates and Phenylpropanoids,Isoflavonoids,Pyridine alkaloids,2
Alkaloids,Nicotinic acid alkaloids,Pterocarpan,2
Alkaloids,Lysine alkaloids,Pterocarpan,2
Alkaloids,Isoflavonoids,Pyridine alkaloids,2
Alkaloids,Isoflavonoids,Pterocarpan,2
Shikimates and Phenylpropanoids,Isoflavonoids,Oligomeric stibenes,2
Fatty acids,Spingolipids,Piperidine alkaloids,2
Fatty acids,Lysine alkaloids,Piperidine alkaloids,2
Alkaloids,Spingolipids,Piperidine alkaloids,2
Terpenoids,Carotenoids (C40),"Carotenoids (C40, Χ-Χ)",2
Terpenoids,Carotenoids (C50),"Carotenoids (C50, β-β)",2
Terpenoids,Carotenoids (C45),"Carotenoids (C45, β-Ψ)",2
Terpenoids,Meroterpenoids,Methyl xanthones,2
Polyketides,Meroterpenoids,Methyl xanthones,2
Shikimates and Phenylpropanoids,Terphenyls,Oligomeric phloroglucinols (phlorotannins),2
Polyketides,Naphthalenes,Angucyclines,2
Alkaloids,Isoflavonoids,Quinolizidine alkaloids,2
Terpenoids,Monoterpenoids,Terpenoid alkaloids,2
Alkaloids,Pseudoalkaloids (transamidation),Iridoids monoterpenoids,2
Alkaloids,Monoterpenoids,Terpenoid alkaloids,2
Terpenoids,Monoterpenoids,Prenyl quinone meroterpenoids,2
Terpenoids,Sesterterpenoids,Flavans,2
Shikimates and Phenylpropanoids,Nicotinic acid alkaloids,Quinolizidine alkaloids,2
Shikimates and Phenylpropanoids,Nicotinic acid alkaloids,Pterocarpan,2
Shikimates and Phenylpropanoids,Lysine alkaloids,Quinolizidine alkaloids,2
Shikimates and Phenylpropanoids,Lysine alkaloids,Pyridine alkaloids,2
Shikimates and Phenylpropanoids,Lysine alkaloids,Pterocarpan,2
Shikimates and Phenylpropanoids,Isoflavonoids,Quinolizidine alkaloids,2
Terpenoids,Sesquiterpenoids,Acyl phloroglucinols,2
Terpenoids,Phloroglucinols,Cyclofarnesane sesquiterpenoids,2
Terpenoids,Diterpenoids,Phloroglucinol-terpene hybrids,2
Polyketides,Tyrosine alkaloids,Phthalide derivatives,2
Polyketides,Cyclic polyketides,Tetrahydroisoquinoline alkaloids,2
Polyketides,Cyclic polyketides,Isoquinoline alkaloids,2
Alkaloids,Tyrosine alkaloids,Phthalide derivatives,2
Terpenoids,Meroterpenoids,Pinane monoterpenoids,2
Alkaloids,Fatty amides,N-acyl amines,2
Terpenoids,Diterpenoids,Cycloartane triterpenoids,2
Terpenoids,Pseudoalkaloids (transamidation),Cyclophytane diterpenoids,2
Alkaloids,Pseudoalkaloids (transamidation),Cyclophytane diterpenoids,2
Alkaloids,Diterpenoids,Cyclophytane diterpenoids,2
Polyketides,Sesquiterpenoids,Cyclofarnesane sesquiterpenoids,2
Polyketides,Sesquiterpenoids,Acyl phloroglucinols,2
Polyketides,Phloroglucinols,Cyclofarnesane sesquiterpenoids,2
Shikimates and Phenylpropanoids,Phloroglucinols,Acyl phloroglucinols,2
Shikimates and Phenylpropanoids,Coumarins,Acyl phloroglucinols,2
Polyketides,Coumarins,Acyl phloroglucinols,2
Polyketides,Coumarins,Pyranocoumarins,2
Terpenoids,Nicotinic acid alkaloids,Iridoids monoterpenoids,2
Alkaloids,Cyclic polyketides,Tetrahydroisoquinoline alkaloids,2
Alkaloids,Cyclic polyketides,Isoquinoline alkaloids,2
Terpenoids,Pseudoalkaloids (transamidation),Indolizidine alkaloids,2
Terpenoids,Lysine alkaloids,Indolizidine alkaloids,2
Alkaloids,Pseudoalkaloids (transamidation),Indolizidine alkaloids,2
Terpenoids,Pseudoalkaloids (transamidation),Quinolizidine alkaloids,2
Terpenoids,Lysine alkaloids,Quinolizidine alkaloids,2
Alkaloids,Pseudoalkaloids (transamidation),Quinolizidine alkaloids,2
Amino acids and Peptides,Oligopeptides,Piperidine alkaloids,2
Amino acids and Peptides,Lysine alkaloids,Piperidine alkaloids,2
Amino acids and Peptides,Lysine alkaloids,Linear peptides,2
Alkaloids,Oligopeptides,Piperidine alkaloids,2
Alkaloids,Lysine alkaloids,Linear peptides,2
Polyketides,Tyrosine alkaloids,Tetrahydroisoquinoline alkaloids,2
Alkaloids,Nicotinic acid alkaloids,Morphinan alkaloids,2
Alkaloids,Nicotinic acid alkaloids,Isoquinoline alkaloids,2
Terpenoids,Ornithine alkaloids,Tropane alkaloids,2
Terpenoids,Ornithine alkaloids,Pinane monoterpenoids,2
Terpenoids,Monoterpenoids,Tropane alkaloids,2
Alkaloids,Ornithine alkaloids,Pinane monoterpenoids,2
Alkaloids,Monoterpenoids,Tropane alkaloids,2
Alkaloids,Monoterpenoids,Pinane monoterpenoids,2
Terpenoids,Pseudoalkaloids (transamidation),Iridoids monoterpenoids,2
Terpenoids,Amino acid glycosides,Cyanogenic glycosides,2
Amino acids and Peptides,Monoterpenoids,Secoiridoid monoterpenoids,2
Amino acids and Peptides,Monoterpenoids,Cyanogenic glycosides,2
Amino acids and Peptides,Amino acid glycosides,Secoiridoid monoterpenoids,2
Shikimates and Phenylpropanoids,Chromanes,Furocoumarins,2
Polyketides,Coumarins,Furocoumarins,2
Polyketides,Chromanes,Furocoumarins,2
Alkaloids,Nicotinic acid alkaloids,Iridoids monoterpenoids,2
Terpenoids,Sesquiterpenoids,Cembrane diterpenoids,2
Terpenoids,Diterpenoids,Africanane sesquiterpenoids,2
Terpenoids,Monoterpenoids,Cyanogenic glycosides,2
Polyketides,Tyrosine alkaloids,Chromones,2
Polyketides,Chromanes,Isoquinoline alkaloids,2
Alkaloids,Tyrosine alkaloids,Chromones,2
Alkaloids,Chromanes,Isoquinoline alkaloids,2
Alkaloids,Chromanes,Chromones,2
Polyketides,Flavonoids,Flavanones,2
Alkaloids,Small peptides,Aminoacids,2
Alkaloids,Nicotinic acid alkaloids,Imidazole alkaloids,2
Alkaloids,Histidine alkaloids,Pyridine alkaloids,2
Amino acids and Peptides,Nicotinic acid alkaloids,RiPPs,2
Alkaloids,Oligopeptides,RiPPs,2
Alkaloids,Nicotinic acid alkaloids,RiPPs,2
Polyketides,Phenolic acids (C6-C1),Depsides and depsidones,2
Polyketides,Aromatic polyketides,Simple phenolic acids,2
Terpenoids,Amino acid glycosides,Secoiridoid monoterpenoids,2
Alkaloids,Sesquiterpenoids,Eudesmane sesquiterpenoids,2
Alkaloids,Histidine alkaloids,Simple indole alkaloids,2
Alkaloids,Polycyclic aromatic polyketides,Anthraquinones and anthrones,2
Shikimates and Phenylpropanoids,Polycyclic aromatic polyketides,Dimeric phloroglucinols,2
Shikimates and Phenylpropanoids,Polycyclic aromatic polyketides,Chalcones,2
Shikimates and Phenylpropanoids,Phloroglucinols,Anthraquinones and anthrones,2
Polyketides,Polycyclic aromatic polyketides,Dimeric phloroglucinols,2
Polyketides,Polycyclic aromatic polyketides,Chalcones,2
Polyketides,Pseudoalkaloids (transamidation),Anthraquinones and anthrones,2
Alkaloids,Tryptophan alkaloids,Anthranillic acid derivatives,2
Alkaloids,Anthranilic acid alkaloids,Simple indole alkaloids,2
Alkaloids,Tryptophan alkaloids,Isoquinoline alkaloids,2
Alkaloids,Pseudoalkaloids (transamidation),Anthraquinones and anthrones,2
Alkaloids,Polyols,Amino cyclitols,2
Alkaloids,Anthranilic acid alkaloids,Amino cyclitols,2
Alkaloids,Tryptophan alkaloids,Tricyclic guanidine alkaloids,2
Alkaloids,Guanidine alkaloids,Pyrroloquinoline alkaloids,2
Polyketides,Pseudoalkaloids (transamidation),Cytochalasan alkaloids,2
Terpenoids,Nicotinic acid alkaloids,Illudalane sesquiterpenoids,2
Fatty acids,Fatty Acids and Conjugates,Fatty alcohols,2
